id,title,score,popularity,members,favorites,demographics_id,demographics,genresId,genreName,duration,studioId,studioName,rank,rating,source,status,season,scoredBy,producerId,producerName,producerType,episodes,airing,broadcastDay,broadcastTime,broadcastTimezone,airedFrom,airedTo,type
1,"{'type': 'Default', 'title': 'Cowboy Bebop'}",8.75,43,1686261,74974,[],[],"[1, 24]","['Action', 'Sci-Fi']",24 min per ep,[14],['Sunrise'],38,R - 17+ (violence & profanity),Original,Finished Airing,spring,871013,[23],['Bandai Visual'],['anime'],26,False,Saturdays,01:00,Asia/Tokyo,1998-04-03T00:00:00+00:00,1999-04-24T00:00:00+00:00,TV
1482,"{'type': 'Default', 'title': 'D.Gray-man'}",8.02,266,655796,13400,[27],['Shounen'],"[1, 2, 4]","['Action', 'Adventure', 'Comedy']",23 min per ep,[73],['TMS Entertainment'],548,PG-13 - Teens 13 or older,Manga,Finished Airing,fall,275571,"[16, 17, 53, 213, 757, 829]","['TV Tokyo', 'Aniplex', 'Dentsu', 'Half H.P Studio', 'Sony Music Entertainment', 'Studio Jack']","['anime', 'anime', 'anime', 'anime', 'anime', 'anime']",103,False,Tuesdays,18:00,Asia/Tokyo,2006-10-03T00:00:00+00:00,2008-09-30T00:00:00+00:00,TV
31636,"{'type': 'Default', 'title': 'Dagashi Kashi'}",6.61,455,423024,954,[27],['Shounen'],"[4, 47]","['Comedy', 'Gourmet']",24 min per ep,[91],['feel.'],5858,PG-13 - Teens 13 or older,Manga,Finished Airing,winter,187521,"[144, 145, 315, 693, 1430, 1496, 1581, 1583, 1585]","['Pony Canyon', 'TBS', 'DAX Production', 'BS-TBS', 'Shogakukan', 'Lawson', 'RAY', 'U-NEXT', 'Nichion']","['anime', 'anime', 'anime', 'anime', 'anime', 'anime', 'anime', 'anime', 'anime']",12,False,Fridays,02:16,Asia/Tokyo,2016-01-08T00:00:00+00:00,2016-04-01T00:00:00+00:00,TV
6573,"{'type': 'Default', 'title': 'Darker than Black: Ryuusei no Gemini'}",7.44,492,394269,1461,[],[],"[1, 7, 24]","['Action', 'Mystery', 'Sci-Fi']",24 min per ep,[4],['Bones'],1890,R - 17+ (violence & profanity),Original,Finished Airing,fall,222956,"[17, 58, 143, 166, 765]","['Aniplex', 'Square Enix', 'Mainichi Broadcasting System', 'Movic', 'Sakura Create']","['anime', 'anime', 'anime', 'anime', 'anime']",12,False,,,,2009-10-09T00:00:00+00:00,2009-12-25T00:00:00+00:00,TV
38656,"{'type': 'Default', 'title': ""Darwin's Game""}",7.25,389,489048,2220,[27],['Shounen'],"[1, 7, 24]","['Action', 'Mystery', 'Sci-Fi']",26 min per ep,[852],['Nexus'],2764,R - 17+ (violence & profanity),Manga,Finished Airing,winter,266395,"[17, 238, 1211, 1373, 1416, 1677, 1901, 2100, 2101]","['Aniplex', 'AT-X', 'Tokyo MX', 'Akita Shoten', 'BS11', 'Kanetsu Investment', 'CA-Cygames Anime Fund', 'Hochi Shimbun', 'ADK']","['anime', 'anime', 'anime', 'anime', 'anime', 'anime', 'anime', 'anime', 'anime']",11,False,Saturdays,00:00,Asia/Tokyo,2020-01-04T00:00:00+00:00,2020-03-21T00:00:00+00:00,TV
6880,"{'type': 'Default', 'title': 'Deadman Wonderland'}",7.16,99,1159360,6472,[27],['Shounen'],"[1, 14, 24, 37]","['Action', 'Horror', 'Sci-Fi', 'Supernatural']",24 min per ep,[32],['Manglobe'],3246,R - 17+ (violence & profanity),Manga,Finished Airing,spring,649607,"[113, 352, 460, 779]","['Kadokawa Shoten', 'Kadokawa Pictures Japan', 'KlockWorx', 'AMG MUSIC']","['anime', 'anime', 'anime', 'anime']",12,False,Sundays,01:00,Asia/Tokyo,2011-04-17T00:00:00+00:00,2011-07-03T00:00:00+00:00,TV
1535,"{'type': 'Default', 'title': 'Death Note'}",8.62,2,3546760,161583,[27],['Shounen'],"[37, 41]","['Supernatural', 'Suspense']",23 min per ep,[11],['Madhouse'],76,R - 17+ (violence & profanity),Manga,Finished Airing,fall,2514055,"[29, 85, 242, 1003, 1365]","['VAP', 'Konami', 'Ashi Productions', 'Nippon Television Network', 'Shueisha']","['anime', 'anime', 'anime', 'anime', 'anime']",37,False,Wednesdays,00:56,Asia/Tokyo,2006-10-04T00:00:00+00:00,2007-06-27T00:00:00+00:00,TV
28223,"{'type': 'Default', 'title': 'Death Parade'}",8.16,49,1614697,26643,[],[],"[8, 37, 41]","['Drama', 'Supernatural', 'Suspense']",23 min per ep,[11],['Madhouse'],385,R - 17+ (violence & profanity),Original,Finished Airing,winter,927288,"[29, 315, 1003]","['VAP', 'DAX Production', 'Nippon Television Network']","['anime', 'anime', 'anime']",12,False,Saturdays,01:58,Asia/Tokyo,2015-01-10T00:00:00+00:00,2015-03-28T00:00:00+00:00,TV
35120,"{'type': 'Default', 'title': 'Devilman: Crybaby'}",7.76,127,1019372,21816,[27],['Shounen'],"[1, 5, 14, 37]","['Action', 'Avant Garde', 'Horror', 'Supernatural']",25 min per ep,[1591],['Science SARU'],988,R+ - Mild Nudity,Manga,Finished Airing,,623788,"[17, 921, 1977]","['Aniplex', 'Dynamic Planning', 'Netflix']","['anime', 'anime', 'anime']",10,False,,,,2018-01-05T00:00:00+00:00,,ONA
37520,"{'type': 'Default', 'title': 'Dororo'}",8.24,115,1071662,18147,[27],['Shounen'],"[1, 2, 37]","['Action', 'Adventure', 'Supernatural']",24 min per ep,"[200, 569]","['Tezuka Productions', 'MAPPA']",294,R - 17+ (violence & profanity),Manga,Finished Airing,winter,550199,[1747],['Twin Engine'],['anime'],24,False,Mondays,22:30,Asia/Tokyo,2019-01-07T00:00:00+00:00,2019-06-24T00:00:00+00:00,TV
